Country,Tag,Governance,Power Distribution,Citizenship,Religion,Bureaucracy,Army,Internal Security,Economic System,Trade,Taxation,Land Reform,Colonization,Police,Education,Healthcare,Speech,Labor Rights,Children's Rights,Women's Rights,Welfare,Migration,Slavery
Austria-Hungary,AUS,law_monarchy,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_laissez-faire,law_mercantilism,law_proportionnal_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_charity_hospitals,law_censorship,law_no_workers'_rights,law_restricted _child_labor,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Belgium,BEL,law_monarchy,law_census_suffrage,law_cultural_exclusion,law_total_separation,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_laissez-faire,law_mercantilism,law_proportionnal_taxation,law_homesteading,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_public_health_insurance,law_right_of_assembly,law_regulatory_bodies,law_compulsory_primary_school,law_propertied_women,law_old_age_pension,law_no_migration_controls,law_slavery_banned
Canada,CAN,law_parliamentary_republic,law_census_suffrage,law_multiculturalism,law_total_separation,law_appointed_bureaucrats,law_national_militia,law_national_guard,law_laissez-faire,law_protectionism,law_consumption_tax,law_homesteading,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_private_health_insurance,law_right_of_assembly,law_regulatory_bodies,law_compulsory_primary_school,law_propertied_women,law_old_age_pension,law_migration_controls,law_slavery_banned
France,FRA,law_parliamentary_republic,law_universal_suffrage,law_multiculturalism,law_total_separation,law_appointed_bureaucrats,law_mass_conscription,law_no_home_affairs,law_interventionism,law_protectionism,law_proportionnal_taxation,law_homesteading,law_no_colonial_affairs,law_militarized_police_force,law_public_schools,law_public_health_insurance,law_right_of_assembly,law_regulatory_bodies,law_compulsory_primary_school,law_women_in_the_workplace,law_old_age_pension,law_no_migration_controls,law_slavery_banned
Germany,GER,law_monarchy,law_census_suffrage,law_national_supremacy,law_freedom_of_conscience,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_interventionism,law_protectionism,law_proportionnal_taxation,law_homesteading,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_public_health_insurance,law_censorship,law_regulatory_bodies,law_compulsory_primary_school,law_propertied_women,law_old_age_pension,law_migration_controls,law_slavery_banned
Great Britain,GBR,law_monarchy,law_census_suffrage,law_multiculturalism,law_freedom_of_conscience,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_interventionism,law_free_trade,law_proportionnal_taxation,law_tenant_farmers,law_no_colonial_affairs,law_dedicated_police_force,law_religious_schools,law_charity_hospitals,law_right_of_assembly,law_regulatory_bodies,law_restricted _child_labor,law_propertied_women,law_old_age_pension,law_migration_controls,law_slavery_banned
Italy,ITA,law_monarchy,law_census_suffrage,law_racial_segregation,law_freedom_of_conscience,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_interventionism,law_protectionism,law_proportionnal_taxation,law_homesteading,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_public_health_insurance,law_right_of_assembly,law_regulatory_bodies,law_compulsory_primary_school,law_propertied_women,law_wages_subsidies,law_no_migration_controls,law_slavery_banned
Japan,JAP,law_monarchy,law_oligarchy,law_ethnostate,law_freedom_of_conscience,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_interventionism,law_mercantilism,law_proportionnal_taxation,law_tenant_farmers,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers'_rights,law_compulsory_primary_school,law_women_in_the_workplace,law_poor_laws,law_migration_controls,law_slavery_banned
Romania,ROM,law_monarchy,law_universal_suffrage,law_racial_segregation,law_state_religion,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers'_rights,law_restricted_child_labor,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Russia,RUS,law_monarchy,law_landed_voting,law_racial_segregation,law_freedom_of_conscience,law_appointed_bureaucrats,law_mass_conscription,law_secret_police,law_interventionism,law_protectionism,law_per_capita_taxation,law_commercialized_agriculture,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_public_schools,law_censorship,law_regulatory_bodies,law_restricted_child_labor,law_propertied_women,law_poor_laws,law_migration_controls,law_slavery_banned
